TargetID,bwa.multi.hit
cg00005617,0
cg00006815,0
cg00008932,0
cg00008945,0
cg00011200,0
cg00011891,0
cg00012395,0
cg00014152,0
cg00016522,0
cg00016934,0
cg00018204,0
cg00018261,0
cg00021786,0
cg00023415,0
cg00026186,0
cg00027454,0
cg00029931,0
cg00030125,0
cg00031235,0
cg00032666,0
cg00034639,0
cg00034731,0
cg00037117,0
cg00040419,0
cg00040455,0
cg00040923,0
cg00046099,0
cg00051952,0
cg00060882,0
cg00070542,0
cg00072288,0
cg00072587,0
cg00072799,0
cg00072839,1
cg00074638,0
cg00078867,0
cg00098732,0
cg00108056,0
cg00108737,0
cg00111239,0
cg00112256,0
cg00113623,0
cg00114625,0
cg00114913,0
cg00115511,0
cg00116265,0
cg00116709,0
cg00117066,0
cg00117663,0
cg00120172,0
cg00121904,0
cg00123001,0
cg00124708,0
cg00126657,0
cg00126698,0
cg00128197,0
cg00130498,0
cg00136787,0
cg00139317,0
cg00139547,0
cg00140085,0
cg00140189,0
cg00141845,0
cg00142683,0
cg00145348,0
cg00147819,0
cg00148031,0
cg00148587,0
cg00150363,0
cg00150874,0
cg00151234,0
cg00156802,0
cg00157034,0
cg00158454,0
cg00168417,0
cg00170369,0
cg00173270,0
cg00177456,0
cg00179446,0
cg00179598,0
cg00180631,0
cg00188257,0
cg00188409,0
cg00188971,0
cg00190642,0
cg00191052,0
cg00191758,0
cg00191903,0
cg00192980,0
cg00194519,0
cg00194585,0
cg00195237,0
cg00200463,0
cg00202711,0
cg00203568,0
cg00203804,0
cg00205905,0
cg00206332,0
cg00206414,0
cg00207916,0
cg00213805,0
cg00213853,0
cg00213957,0
cg00216997,0
cg00221961,0
cg00224026,0
cg00227584,0
cg00228620,0
cg00230685,0
cg00231549,0
cg00235887,0
cg00238052,0
cg00238131,0
cg00240113,0
cg00241051,0
cg00241296,0
cg00241907,0
cg00242233,0
cg00243584,0
cg00243747,0
cg00245012,0
cg00250879,0
cg00253811,0
cg00255219,0
cg00256358,0
cg00258480,0
cg00260448,0
cg00261039,0
cg00263759,0
cg00264378,0
cg00265812,0
cg00266918,0
cg00267352,0
cg00267883,0
cg00271516,0
cg00272286,0
cg00276426,0
cg00279529,0
cg00279797,0
cg00290944,0
cg00291164,0
cg00291222,0
cg00291929,0
cg00292305,0
cg00295573,0
cg00303108,0
cg00304884,0
cg00321056,0
cg00323457,0
cg00328965,0
cg00329040,0
cg00331433,0
cg00337921,0
cg00347850,0
cg00348113,0
cg00349460,0
cg00355945,0
cg00357087,0
cg00358459,0
cg00359973,0
cg00360298,0
cg00360365,0
cg00363318,0
cg00366674,0
cg00368230,0
cg00369058,0
cg00369477,0
cg00370296,0
cg00373606,0
cg00374088,0
cg00374346,0
cg00375105,0
cg00378473,0
cg00378717,0
cg00378950,0
cg00379371,0
cg00379799,0
cg00379983,0
cg00380985,0
cg00381376,0
cg00382651,0
cg00387056,0
cg00387940,0
cg00388637,0
cg00389276,0
cg00389552,0
cg00389918,0
cg00390049,0
cg00391044,0
cg00391379,0
cg00399450,0
cg00400665,0
cg00400999,0
cg00401265,0
cg00402910,0
cg00403724,0
cg00404599,0
cg00406460,0
